upstream_pkg	fedora_pkg	copr	flatpak	source_build	status	rationale
pacman-contrib	-	-	-	-	dropped	Arch-specific pacman helper scripts; dnf-utils already assumed present covers the equivalent need
pamixer	pamixer	-	-	-	dnf	1:1 name match
pinta	pinta	-	-	-	dnf	1:1 name match
plocate	plocate	-	-	-	dnf	1:1 name match
plymouth	plymouth	-	-	-	dnf	1:1 name match
postgresql-libs	libpq	-	-	-	dnf	Fedora's client library package is named differently
power-profiles-daemon	power-profiles-daemon	-	-	-	dnf	1:1 name match
python-gobject	python3-gobject	-	-	-	dnf	Fedora prefixes Python packages with python3-
python-poetry-core	python3-poetry-core	-	-	-	dnf	see python-gobject naming note
python-terminaltexteffects	-	-	-	mise pipx wrapper for terminaltexteffects (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user in an isolated Python environment through mise
qemu-user-static-binfmt	qemu-user-static	-	-	-	dnf	Fedora bundles binfmt registration into the main qemu-user-static package
qrencode	qrencode	-	-	-	dnf	Available directly from Fedora; used for terminal QR sharing
quickshell-git	-	errornointernet/quickshell	-	build from source (git.outfoxxed.me/quickshell/quickshell)	copr	load-bearing for the entire Phase 6 shell; not in Fedora repos; this COPR is the current best-known one but not independently confirmed maintained -- verify before relying on it in production
ripgrep	ripgrep	-	-	-	dnf	1:1 name match
ruby	ruby	-	-	-	dnf	1:1 name match
rust	rust	-	-	-	dnf	1:1 name match (rustup also viable for toolchain management)
tensaku	-	-	-	investigate github.com/basecamp	dropped	Basecamp first-party AUR-only tool; needs upstream-source investigation
sddm	sddm	-	-	-	dnf	1:1 name match
slurp	slurp	-	-	-	dnf	1:1 name match
socat	socat	-	-	-	dnf	1:1 name match
starship	-	-	-	mise registry wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user from upstream releases through mise
sushi	sushi	-	-	-	dnf	1:1 name match
system-config-printer	system-config-printer	-	-	-	dnf	1:1 name match
tesseract	tesseract	-	-	-	dnf	1:1 name match
tesseract-data-eng	tesseract-langpack-eng	-	-	-	dnf	Fedora names language packs langpack-<lang>
tldr	tldr	-	-	-	dnf	1:1 name match (tealdeer is a faster Rust alternative if tldr proves unpackaged)
tree-sitter-cli	-	-	-	mise registry wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user from upstream releases through mise
tmux	tmux	-	-	-	dnf	1:1 name match
tobi-try	-	-	-	investigate github.com/basecamp (jdx/mise author's "usage"-adjacent tool?)	dropped	Basecamp first-party AUR-only tool; needs upstream-source investigation
ttf-ia-writer	-	-	-	manual font install from iAWriter's published font files	source-build	not packaged anywhere; direct font file drop into ~/.local/share/fonts
ttf-jetbrains-mono-nerd-basic	jetbrains-mono-fonts-all	-	-	-	dnf	Fedora family name is JetBrains Mono; nerd-fonts is installed separately for symbol fallback
nerd-fonts	nerd-fonts	che/nerd-fonts	-	-	copr	Fedory installs the COPR symbol font package alongside Fedora's JetBrains Mono family
tzupdate	-	-	-	mise pipx wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user in an isolated Python environment through mise
udiskie	udiskie	-	-	-	dnf	1:1 name match
ufw	-	-	-	-	dropped	Fedora Workstation defaults to firewalld; install/config/firewall.sh was rewritten around firewall-cmd instead (see Phase 1)
ufw-docker	-	-	-	-	dropped	same rationale as ufw; firewalld's zone/interface assignment covers the same Docker-firewall need without an extra package
unzip	unzip	-	-	-	dnf	1:1 name match
util-linux-script	util-linux-script	-	-	-	dnf	Fedora split package providing script, scriptlive, and scriptreplay for update session logging
usage	-	-	-	mise registry wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user from upstream releases through mise
uwsm	uwsm	-	-	-	dnf	Fedora added uwsm to official repos
whois	whois	-	-	-	dnf	1:1 name match
wireless-regdb	wireless-regdb	-	-	-	dnf	1:1 name match
wireplumber	wireplumber	-	-	-	dnf	1:1 name match
wl-clipboard	wl-clipboard	-	-	-	dnf	1:1 name match
wtype	wtype	-	-	-	dnf	1:1 name match if packaged, otherwise trivial from-source build
woff2-font-awesome	fontawesome-fonts-web	-	-	-	dnf	naming likely differs; not independently confirmed, verify exact Fedora Font Awesome web-font package before relying on it
xdg-desktop-portal-gtk	xdg-desktop-portal-gtk	-	-	-	dnf	1:1 name match
xdg-desktop-portal-hyprland	xdg-desktop-portal-hyprland	nett00n/hyprland	-	-	copr	keep the Hyprland component stack on one Fedora 44-compatible COPR
xdg-terminal-exec	-	-	-	install/config/xdg-terminal-exec.sh	source-build	pinned checksum-verified upstream shell implementation
xournalpp	xournalpp	-	-	-	dnf	1:1 name match
yaru-icon-theme	-	heliocastro/yaru	-	-	copr	Ubuntu's icon theme isn't in Fedora's official repos; COPR name not independently confirmed, verify before relying on it
yay	-	-	-	-	dropped	Arch AUR helper; Fedora has no AUR analog, COPR is enabled per-repository instead (see fedory-pkg-copr-add)
yt-dlp	yt-dlp	-	-	-	dnf	1:1 name match
zoxide	zoxide	-	-	-	dnf	1:1 name match
autoconf-archive	autoconf-archive	-	-	-	dnf	1:1 name match
asusctl	-	lukenukem/asus-linux	-	-	copr	the asus-linux.org project's own COPR is the standard install path on Fedora too
base	-	-	-	-	dropped	Arch meta-package for the minimal base system; Fedora's base install already provides the equivalent
base-devel	-	-	-	-	dropped	Arch build-toolchain meta-package; Fedora equivalent is the @development-tools group, already assumed present for a dev-focused install
broadcom-wl	akmod-wl	-	-	if akmod-wl is unavailable for a given kernel, build broadcom-wl from source against dkms	dnf (RPM Fusion)	Broadcom Wi-Fi driver story differs entirely on Fedora; RPM Fusion's akmod-wl is the closest equivalent, with a source-build fallback noted
btrfs-progs	btrfs-progs	-	-	-	dnf	1:1 name match
dkms	dkms	-	-	-	dnf	1:1 name match
egl-wayland	egl-wayland	-	-	-	dnf	1:1 name match
gst-plugin-pipewire	gstreamer1-plugin-pipewire	-	-	-	dnf	Fedora's GStreamer packages use the gstreamer1- prefix
gtk4-layer-shell	gtk4-layer-shell	-	-	-	dnf	1:1 name match
libpulse	pulseaudio-libs	-	-	-	dnf	Fedora's PulseAudio-compat library package is named differently
intel-ipu7-camera	-	-	-	track upstream kernel driver merge status	dropped	very new Arch-only kernel module packaging; not yet stable/portable enough to translate
intel-lpmd	intel-lpmd	-	-	-	dnf	1:1 name match on recent Fedora
intel-media-driver	intel-media-driver	-	-	-	dnf	1:1 name match
libva-intel-driver	libva-intel-driver	-	-	-	dnf	1:1 name match
libva-nvidia-driver	-	elxreno/libva-nvidia-driver	-	build from source (github.com/elFarto/nvidia-vaapi-driver)	copr-or-source	not in Fedora's official repos; COPR name not independently confirmed, verify before relying on it
limine	-	-	-	-	dropped	Arch/Limine-specific bootloader; Fedora uses grub2/bootupd (see docs/scope.md)
limine-mkinitcpio-hook	-	-	-	-	dropped	same rationale as limine; mkinitcpio itself has no Fedora equivalent (dracut owns this role)
limine-snapper-sync	-	-	-	grub2-btrfs as the closest equivalent, not auto-installed (see install/config/snapper.sh)	dropped	Limine-specific; grub2-btrfs is the nearest Fedora analog but is a deliberate opt-in, not a drop-in replacement
linux	kernel	-	-	-	dnf	Fedora's kernel package is simply "kernel", already present on any install
linux-firmware	linux-firmware	-	-	-	dnf	1:1 name match, already present on any install
linux-headers	kernel-devel	-	-	-	dnf	Fedora's kernel headers package is kernel-devel
linux-ptl	-	-	-	-	dropped	Arch-specific bleeding-edge kernel variant for very new Intel Panther Lake hardware; Fedora's mainline "kernel" package tracks new hardware support on its own cadence
linux-ptl-headers	-	-	-	-	dropped	see linux-ptl
macbook12-spi-driver-dkms	-	-	-	build from source (github.com/Dunedan/mbp-2016-linux or t2linux project)	source-build	AUR-only DKMS driver; t2linux project is the closest maintained upstream
nvidia-580xx-dkms	akmod-nvidia	-	-	-	dnf (RPM Fusion)	Fedora's NVIDIA path is RPM Fusion's akmod-nvidia, versioned automatically rather than by driver-branch package name (not a COPR -- RPM Fusion is a separate official repo, see install/hardware/nvidia.sh)
nvidia-dkms	akmod-nvidia	rpmfusion	-	-	dnf (RPM Fusion)	see nvidia-580xx-dkms
nvidia-open-dkms	akmod-nvidia	-	-	-	dnf (RPM Fusion)	RPM Fusion's akmod-nvidia now covers the open kernel modules too via the same unified package (matches install/hardware/nvidia.sh, not a separate akmod-nvidia-open package)
nvidia-580xx-utils	xorg-x11-drv-nvidia-cuda	rpmfusion	-	-	dnf (RPM Fusion)	RPM Fusion doesn't split utils by driver branch the way Arch does
nvidia-utils	xorg-x11-drv-nvidia-cuda	rpmfusion	-	-	dnf (RPM Fusion)	see nvidia-580xx-utils
lib32-nvidia-580xx-utils	-	-	-	-	dropped	Fedora doesn't ship a lib32/multilib NVIDIA userspace package the way Arch does; 32-bit gaming NVIDIA support works differently (Steam's own runtime)
lib32-nvidia-utils	-	-	-	-	dropped	see lib32-nvidia-580xx-utils
pipewire	pipewire	-	-	-	dnf	1:1 name match
pipewire-alsa	pipewire-alsa	-	-	-	dnf	1:1 name match
pipewire-jack	pipewire-jack-audio-connection-kit	-	-	-	dnf	Fedora's compat package has a longer name
pipewire-pulse	pipewire-pulseaudio	-	-	-	dnf	Fedora's naming differs slightly
qt6-wayland	qt6-qtwayland	-	-	-	dnf	Fedora prefixes Qt6 modules with qt6-qt
snapper	snapper	-	-	-	dnf	1:1 name match
sof-firmware	alsa-sof-firmware	-	-	-	dnf	Fedora's SOF firmware package is prefixed alsa-
thermald	thermald	-	-	-	dnf	1:1 name match
webp-pixbuf-loader	webp-pixbuf-loader	-	-	-	dnf	1:1 name match
yay-debug	-	-	-	-	dropped	debug symbols for yay, which is itself dropped
tuxedo-drivers-nocompatcheck-dkms	-	-	-	TUXEDO Computers' own install docs (tuxedocomputers.com)	source-build	TUXEDO publishes Fedora support through their own install tooling; no independently-confirmed COPR repo name found -- point affected users at tuxedocomputers.com rather than guess
yt6801-dkms	-	-	-	build from source (github.com/HowardChanBUS/yt6801, AUR-only upstream)	source-build	niche Ethernet adapter DKMS driver, AUR-only origin
zram-generator	zram-generator-defaults	-	-	-	dnf	Fedora Workstation already ships and enables zram by default via this package
libvpl	libvpl	-	-	-	dnf	1:1 name match (Intel media SDK)
vpl-gpu-rt	vpl-gpu-rt	-	-	-	dnf	1:1 name match
vulkan-intel	mesa-vulkan-drivers	-	-	-	dnf	Fedora bundles Intel+AMD Vulkan ICDs into one mesa-vulkan-drivers package
vulkan-radeon	mesa-vulkan-drivers	-	-	-	dnf	see vulkan-intel; same package covers both
vulkan-asahi	-	-	-	-	dropped	Apple Silicon GPU Vulkan driver; out of scope until Fedora Asahi Remix parity is separately evaluated
linux-firmware-marvell	-	-	-	-	dropped	already bundled inside Fedora's main linux-firmware package, no separate package needed
dell-xps-touchpad-haptics	-	-	-	build from source (AUR-only, check for upstream github repo)	source-build	niche AUR-only haptic touchpad driver
lsp-plugins-lv2	lsp-plugins-lv2	-	-	-	dnf	1:1 name match
apple-bcm-firmware	-	-	-	t2linux project's own Fedora repo (t2linux.org)	external-repo	t2linux publishes a maintained Fedora repo for the whole T2 Mac hardware-support stack
apple-t2-audio-config	-	-	-	t2linux project's own Fedora repo	external-repo	see apple-bcm-firmware
linux-t2	-	-	-	t2linux project's own Fedora repo (patched kernel)	external-repo	see apple-bcm-firmware
linux-t2-headers	-	-	-	t2linux project's own Fedora repo	external-repo	see apple-bcm-firmware
t2fanrd	-	-	-	t2linux project's own Fedora repo	external-repo	see apple-bcm-firmware
tiny-dfr	-	-	-	t2linux project's own Fedora repo	external-repo	see apple-bcm-firmware
qmk-hid	-	-	-	build from source (QMK-related AUR-only helper)	source-build	niche Framework 16 keyboard-module helper, AUR-only origin
networkmanager	NetworkManager	-	-	-	dnf	Fedora capitalizes the package NetworkManager; already installed and enabled by default on Workstation
supergfxctl	supergfxctl	lukenukem/asus-linux	-	-	copr	referenced by fedory-toggle-hybrid-gpu; same asus-linux.org COPR as asusctl, not in the original base/other package lists (installed on-demand)
voxtype-bin	-	-	-	github.com/voxtype/voxtype releases (cargo install or prebuilt binary)	source-build	referenced by fedory-voxtype-install; not in Fedora repos, small actively-developed voice dictation tool distributed via GitHub releases
firefox	firefox	-	-	-	dnf	1:1 name match, already installed by default on most Fedora Workstation spins
steam	steam	-	-	-	dnf (RPM Fusion)	referenced by fedory-install-gaming-steam; ships via RPM Fusion nonfree, needs RPM Fusion enabled
lutris	lutris	-	-	-	dnf (RPM Fusion)	referenced by fedory-install-gaming-lutris; in RPM Fusion
umu-launcher	-	-	-	github.com/Open-Wine-Components/umu-launcher (pip install or prebuilt)	source-build	referenced by fedory-install-gaming-lutris/-battlenet; not confirmed in Fedora repos or a maintained COPR yet
xpadneo-dkms	xpadneo-dkms	lizardbyte/xpadneo	-	-	copr	referenced by fedory-install-gaming-xbox-controllers; COPR repo name not confirmed, verify before relying on it
retroarch	retroarch	-	-	-	dnf (RPM Fusion)	referenced by fedory-install-gaming-retroarch; core coverage differs from Arch AUR, use RetroArch's own Core Downloader for cores
1password	1password	-	-	official repo (downloads.1password.com)	external-repo	1Password/AgileBits publish their own official dnf repo for Fedora/RHEL
1password-cli	1password-cli	-	-	official repo (downloads.1password.com)	external-repo	ships from the same 1Password repo as the GUI app
signal-desktop	-	-	org.signal.Signal	-	flatpak	no Fedora RPM; Flathub is Signal's own recommended non-Debian channel
spotify	-	-	com.spotify.Client	-	flatpak	no Fedora RPM; Flathub app is Flathub-verified with Spotify's cooperation
sunshine	sunshine	lizardbyte/beta	-	-	copr	LizardByte (Sunshine's upstream) publish their own COPR; repo name not independently confirmed here
dropbox	-	-	-	installed by nautilus-dropbox's own first-run downloader	dropped	no Fedora RPM for the daemon itself; nautilus-dropbox pulls it down on first run
dropbox-cli	-	-	-	installed alongside the dropbox daemon by nautilus-dropbox	dropped	see dropbox
libappindicator-gtk3	libappindicator-gtk3	-	-	-	dnf	1:1 name match
python-gpgme	python3-gpg	-	-	-	dnf	Fedora's Python binding package is named python3-gpg, not python-gpgme
nautilus-dropbox	nautilus-dropbox	-	-	-	dnf (RPM Fusion)	provides the Nautilus integration and downloads the Dropbox daemon on first run
nordvpn-bin	nordvpn	-	-	official install script (downloads.nordcdn.com)	external-repo	NordVPN publish their own official install script that configures a dnf repo
once-bin	-	-	-	investigate	dropped	first-party Basecamp/DHH AUR-only tool, same unconfirmed-source category as aether/cliamp/omacut/omawrite/tensaku/tobi-try
symfony-cli	-	-	-	official install script (get.symfony.com/cli/installer) or their own apt/yum repo	external-repo	referenced by fedory-install-dev-env/-remove-dev-env; no confirmed Fedora dnf package
